rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,26,0,0.0,0.0,0.0
F2,26,0,0.0,0.0,0.0
F3,26,0,0.0,0.0,0.0
H1,26,25,0.9615384615384616,0.4538461538461539,0.47200000000000003
J1,26,9,0.34615384615384615,0.06923076923076923,0.2
J2,26,3,0.11538461538461539,0.02307692307692308,0.20000000000000004
J3,26,1,0.038461538461538464,0.007692307692307693,0.2
J4,26,0,0.0,0.0,0.0
J5,26,0,0.0,0.0,0.0
S1,26,26,1.0,0.9923076923076923,0.9923076923076923
U1,26,25,0.9615384615384616,0.8153846153846154,0.848
U2,26,0,0.0,0.0,0.0
U3,26,22,0.8461538461538461,0.37692307692307697,0.4454545454545455
U4,26,23,0.8846153846153846,0.4,0.45217391304347826
