antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,S1,91,1.0,0.9956043956043955,0.0,0,91
U4,U1,91,1.0,0.7087912087912088,0.0,0,91
U3,S1,87,1.0,0.9954022988505746,0.0,0,87
U3,U1,87,1.0,0.735632183908046,0.0,0,87
J1,S1,20,1.0,0.99,0.0,0,20
J1,U1,20,1.0,0.76,0.0,0,20
J2,J1,9,1.0,0.2222222222222222,0.0,0,9
J2,S1,9,1.0,1.0,0.0,0,9
J2,U1,9,1.0,0.6888888888888889,0.0,0,9
J2,U4,9,1.0,0.2666666666666667,0.0,0,9
J3,J1,3,1.0,0.20000000000000004,0.0,0,3
J3,S1,3,1.0,1.0,0.0,0,3
J3,U1,3,1.0,0.7333333333333334,0.0,0,3
J3,U4,3,1.0,0.39999999999999997,0.0,0,3
J4,J1,2,1.0,0.2,0.0,0,2
J4,J2,2,1.0,0.2,0.0,0,2
J4,J3,2,1.0,0.2,0.0,0,2
J4,J5,2,1.0,0.2,0.0,0,2
J4,S1,2,1.0,1.0,0.0,0,2
J4,U1,2,1.0,0.7,0.0,0,2
J4,U3,2,1.0,0.5,0.0,0,2
J4,U4,2,1.0,0.2,0.0,0,2
J5,J1,2,1.0,0.2,0.0,0,2
J5,J2,2,1.0,0.2,0.0,0,2
J5,J3,2,1.0,0.2,0.0,0,2
J5,J4,2,1.0,0.2,0.0,0,2
J5,S1,2,1.0,1.0,0.0,0,2
J5,U1,2,1.0,0.7,0.0,0,2
J5,U3,2,1.0,0.5,0.0,0,2
J5,U4,2,1.0,0.2,0.0,0,2
U2,H1,2,1.0,0.30000000000000004,0.0,0,2
U2,S1,2,1.0,1.0,0.0,0,2
U2,U1,2,1.0,0.6,0.0,0,2
U2,U3,2,1.0,0.5,0.0,0,2
U2,U4,2,1.0,0.30000000000000004,0.0,0,2
H1,U1,77,1.0,0.7636363636363636,0.0025974025974025983,1,76
U1,S1,101,0.9900990099009901,0.9861386138613861,0.009900990099009901,1,100
H1,S1,77,0.987012987012987,0.9818181818181817,0.012987012987012988,1,76
S1,U1,103,0.970873786407767,0.6844660194174758,0.3116504854368932,74,29
J1,U4,20,0.95,0.36,0.02,1,19
H1,U3,77,0.948051948051948,0.4313852813852814,0.08051948051948053,20,57
U3,U4,87,0.9080459770114943,0.38180076628352494,0.13333333333333333,33,54
U1,U4,101,0.900990099009901,0.38135313531353143,0.32656765676567656,81,20
J1,H1,20,0.9,0.34,0.02,2,18
J2,H1,9,0.8888888888888888,0.2888888888888889,0.022222222222222223,1,8
J2,U3,9,0.8888888888888888,0.4222222222222222,0.022222222222222223,1,8
S1,U4,103,0.883495145631068,0.37394822006472506,0.6221682847896438,101,2
H1,U4,77,0.8831168831168831,0.36645021645021647,0.1272727272727273,23,54
U4,U3,91,0.8681318681318682,0.36721611721611724,0.13736263736263732,38,53
U1,U3,101,0.8613861386138614,0.3724422442244225,0.3354785478547855,85,16
J1,U3,20,0.85,0.34,0.04,4,16
S1,U3,103,0.8446601941747572,0.3652103559870551,0.6309061488673139,102,1
U3,H1,87,0.8390804597701149,0.3193486590038314,0.1636015325670498,50,37
U1,H1,101,0.7623762376237624,0.2929042904290429,0.41699669966996705,93,8
U4,H1,91,0.7472527472527473,0.26135531135531137,0.20586080586080588,51,40
S1,H1,103,0.7378640776699029,0.27750809061488674,0.7186084142394821,100,3
J3,H1,3,0.6666666666666666,0.20000000000000004,0.06666666666666667,1,2
J3,J2,3,0.6666666666666666,0.13333333333333333,0.06666666666666667,1,2
J3,J4,3,0.6666666666666666,0.13333333333333333,0.06666666666666667,1,2
J3,J5,3,0.6666666666666666,0.13333333333333333,0.06666666666666667,1,2
J3,U3,3,0.6666666666666666,0.3333333333333333,0.06666666666666667,1,2
J4,H1,2,0.5,0.2,0.1,1,1
J5,H1,2,0.5,0.2,0.1,1,1
J1,J2,20,0.45,0.09,0.13000000000000003,12,8
H1,J1,77,0.23376623376623376,0.05194805194805195,0.33225108225108224,68,9
J2,J3,9,0.2222222222222222,0.044444444444444446,0.15555555555555556,7,2
J2,J4,9,0.2222222222222222,0.044444444444444446,0.15555555555555556,7,2
J2,J5,9,0.2222222222222222,0.044444444444444446,0.15555555555555556,7,2
U4,J1,91,0.2087912087912088,0.04395604395604396,0.37930402930402934,80,11
U1,J1,101,0.19801980198019803,0.04356435643564357,0.6643564356435642,101,0
U3,J1,87,0.19540229885057472,0.043678160919540236,0.39099616858237557,80,7
S1,J1,103,0.1941747572815534,0.04271844660194176,0.9533980582524272,103,0
J1,J3,20,0.15,0.030000000000000006,0.19000000000000003,17,3
H1,J2,77,0.1038961038961039,0.02077922077922078,0.3634199134199134,73,4
J1,J4,20,0.1,0.02,0.20000000000000004,18,2
J1,J5,20,0.1,0.02,0.20000000000000004,18,2
U4,J2,91,0.0989010989010989,0.01978021978021978,0.4034798534798536,84,7
U3,J2,87,0.09195402298850575,0.01839080459770115,0.413984674329502,84,3
U1,J2,101,0.0891089108910891,0.017821782178217824,0.6900990099009902,101,0
S1,J2,103,0.08737864077669903,0.017475728155339806,0.978640776699029,103,0
U4,J3,91,0.03296703296703297,0.006593406593406594,0.4166666666666668,89,2
U1,J3,101,0.0297029702970297,0.0059405940594059415,0.7019801980198019,101,0
S1,J3,103,0.02912621359223301,0.005825242718446603,0.9902912621359223,103,0
H1,J3,77,0.025974025974025976,0.005194805194805195,0.379004329004329,76,1
H1,U2,77,0.025974025974025976,0.005194805194805195,0.379004329004329,76,1
U3,J3,87,0.022988505747126436,0.004597701149425287,0.4277777777777778,87,0
U3,J4,87,0.022988505747126436,0.004597701149425287,0.4277777777777778,87,0
U3,J5,87,0.022988505747126436,0.004597701149425287,0.4277777777777778,87,0
U3,U2,87,0.022988505747126436,0.004597701149425287,0.42777777777777787,87,0
U4,U2,91,0.02197802197802198,0.004395604395604396,0.41886446886446893,90,1
U4,J4,91,0.02197802197802198,0.004395604395604396,0.41886446886446904,89,2
U4,J5,91,0.02197802197802198,0.004395604395604396,0.41886446886446904,89,2
U1,J4,101,0.019801980198019802,0.0039603960396039604,0.7039603960396039,101,0
U1,J5,101,0.019801980198019802,0.0039603960396039604,0.7039603960396039,101,0
U1,U2,101,0.019801980198019802,0.0039603960396039604,0.703960396039604,101,0
S1,J4,103,0.019417475728155338,0.0038834951456310682,0.9922330097087378,103,0
S1,J5,103,0.019417475728155338,0.0038834951456310682,0.9922330097087378,103,0
S1,U2,103,0.019417475728155338,0.0038834951456310682,0.9922330097087378,103,0
H1,J4,77,0.012987012987012988,0.0025974025974025974,0.3816017316017316,77,0
H1,J5,77,0.012987012987012988,0.0025974025974025974,0.3816017316017316,77,0
J2,F1,9,0.0,0.0,0.2,9,0
J2,F2,9,0.0,0.0,0.2,9,0
J2,F3,9,0.0,0.0,0.2,9,0
J2,U2,9,0.0,0.0,0.2,9,0
J4,F1,2,0.0,0.0,0.2,2,0
J4,F2,2,0.0,0.0,0.2,2,0
J4,F3,2,0.0,0.0,0.2,2,0
J4,U2,2,0.0,0.0,0.2,2,0
J5,F1,2,0.0,0.0,0.2,2,0
J5,F2,2,0.0,0.0,0.2,2,0
J5,F3,2,0.0,0.0,0.2,2,0
J5,U2,2,0.0,0.0,0.2,2,0
U2,F1,2,0.0,0.0,0.2,2,0
U2,F2,2,0.0,0.0,0.2,2,0
U2,F3,2,0.0,0.0,0.2,2,0
U2,J1,2,0.0,0.0,0.2,2,0
U2,J2,2,0.0,0.0,0.2,2,0
U2,J3,2,0.0,0.0,0.2,2,0
U2,J4,2,0.0,0.0,0.2,2,0
U2,J5,2,0.0,0.0,0.2,2,0
J3,F1,3,0.0,0.0,0.20000000000000004,3,0
J3,F2,3,0.0,0.0,0.20000000000000004,3,0
J3,F3,3,0.0,0.0,0.20000000000000004,3,0
J3,U2,3,0.0,0.0,0.20000000000000004,3,0
J1,F1,20,0.0,0.0,0.22000000000000003,20,0
J1,F2,20,0.0,0.0,0.22000000000000003,20,0
J1,F3,20,0.0,0.0,0.22000000000000003,20,0
J1,U2,20,0.0,0.0,0.22000000000000003,20,0
H1,F1,77,0.0,0.0,0.3841991341991342,77,0
H1,F2,77,0.0,0.0,0.3841991341991342,77,0
H1,F3,77,0.0,0.0,0.3841991341991342,77,0
U4,F1,91,0.0,0.0,0.4232600732600733,91,0
U4,F2,91,0.0,0.0,0.4232600732600733,91,0
U4,F3,91,0.0,0.0,0.4232600732600733,91,0
U3,F1,87,0.0,0.0,0.43237547892720307,87,0
U3,F2,87,0.0,0.0,0.43237547892720307,87,0
U3,F3,87,0.0,0.0,0.43237547892720307,87,0
U1,F1,101,0.0,0.0,0.7079207920792079,101,0
U1,F2,101,0.0,0.0,0.7079207920792079,101,0
U1,F3,101,0.0,0.0,0.7079207920792079,101,0
S1,F1,103,0.0,0.0,0.9961165048543689,103,0
S1,F2,103,0.0,0.0,0.9961165048543689,103,0
S1,F3,103,0.0,0.0,0.9961165048543689,103,0
